name,scientific name,last observation,total observations
Brown-cheeked Fulvetta,Alcippe poioicephala,"November 9, 2024",443
Nepal Fulvetta,Alcippe nipalensis,"November 8, 2024",141
Brown Fulvetta,Alcippe brunneicauda,"November 4, 2024",112
Giant Laughingthrush,Ianthocincla maxima,"October 26, 2024",61
Spotted Laughingthrush,Ianthocincla ocellata,"November 22, 2024",112
Rufous-chinned Laughingthrush,Ianthocincla rufogularis,"November 6, 2024",74
Moustached Laughingthrush,Ianthocincla cineracea,"October 5, 2024",12
Snowy-cheeked Laughingthrush,Ianthocincla sukatschewi,"June 28, 2022",4
Striated Laughingthrush,Grammatoptila striata,"November 26, 2024",284
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,"December 2, 2024",257
White-whiskered Laughingthrush,Trochalopteron morrisonianum,"December 4, 2024","1,660"
Black-faced Laughingthrush,Trochalopteron affine,No Observations,0
Prince Henry's Laughingthrush,Trochalopteron henrici,No Observations,0
Variegated Laughingthrush,Trochalopteron variegatum,No Observations,0
Elliot's Laughingthrush,Trochalopteron elliotii,No Observations,262
Blue-winged Laughingthrush,Trochalopteron squamatum,"November 10, 2024",0
Brown-capped Laughingthrush,Trochalopteron austeni,No Observations,0
Scaly Laughingthrush,Trochalopteron subunicolor,"November 6, 2024",0
Streaked Laughingthrush,Trochalopteron lineatum,No Observations,0
Striped Laughingthrush,Trochalopteron virgatum,No Observations,19
Red-tailed Laughingthrush,Trochalopteron milnei,No Observations,30
Red-billed Leiothrix,Leiothrix lutea,"December 1, 2024",0
Silver-eared Mesia,Leiothrix argentauris,No Observations,724
Chestnut-tailed Minla,Actinodura strigula,No Observations,0
Blue-winged Minla,Actinodura cyanouroptera,No Observations,783
Taiwan Barwing,Actinodura morrisoniana,No Observations,280
Streak-throated Barwing,Actinodura waldeni,No Observations,0
Spectacled Barwing,Actinodura ramsayi,No Observations,71
Rusty-fronted Barwing,Actinodura egertoni,No Observations,0
Hoary-throated Barwing,Actinodura nipalensis,"November 26, 2024",0
Red-tailed Minla,Minla ignotincta,"November 6, 2024",0
Himalayan Cutia,Cutia nipalensis,"October 15, 2024",91
Spot-breasted Laughingthrush,Garrulax merulinus,"April 21, 2024",7
Gray Laughingthrush,Garrulax maesi,No Observations,0
White-crested Laughingthrush,Garrulax leucolophus,No Observations,"1,457"
Lesser Necklaced Laughingthrush,Garrulax monileger,"December 7, 2024",0
Long-tailed Sibia,Heterophasia picaoides,"October 16, 2024",261
Beautiful Sibia,Heterophasia pulchella,"November 7, 2024",77
Grey Sibia,Heterophasia gracilis,No Observations,0
Rufous Sibia,Heterophasia capistrata,"November 28, 2024",646
White-eared Sibia,Heterophasia auricularis,"December 7, 2024",924
Bare-cheeked Babbler,Turdoides gymnogenys,"November 7, 2024",122
Spotted Crocias,Laniellus albonotatus,"August 7, 2024",13
Rufous-backed Sibia,Leioptila annectens,No Observations,0
Slender-billed Babbler,Argya longirostris,"November 11, 2024",0
Rufous Babbler,Argya subrufa,No Observations,0
Orange-billed Babbler,Argya rufescens,"November 17, 2024",97
Iraq Babbler,Argya altirostris,No Observations,0
Common Babbler,Argya caudata,"December 7, 2024",0
Striated Babbler,Argya earlei,"November 28, 2024",186
White-throated Babbler,Argya gularis,No Observations,0
Wayanad Laughingthrush,Pterorhinus delesserti,"February 10, 2024",15
Rufous-vented Laughingthrush,Pterorhinus gularis,"April 21, 2024",1
White-cheeked Laughingthrush,Pterorhinus vassali,No Observations,0
Yellow-throated Laughingthrush,Pterorhinus galbanus,No Observations,0
Rufous-necked Laughingthrush,Pterorhinus ruficollis,No Observations,0
Chestnut-backed Laughingthrush,Pterorhinus nuchalis,"April 22, 2023",3
White-browed Laughingthrush,Pterorhinus sannio,No Observations,955
Masked Laughingthrush,Pterorhinus perspicillatus,"December 7, 2024",0
Greater Necklaced Laughingthrush,Pterorhinus pectoralis,"December 7, 2024","1,027"
Tibetan Babax,Pterorhinus koslowi,No Observations,0
White-throated Laughingthrush,Pterorhinus albogularis,"November 30, 2024",0
Grey-sided Laughingthrush,Pterorhinus caerulatus,"November 5, 2024",58
Pine Grosbeak,Pinicola enucleator,"December 6, 2024","9,853"
Dark-rumped Rosefinch,Carpodacus edwardsii,No Observations,48
Three-banded Rosefinch,Carpodacus trifasciatus,No Observations,10
Streaked Rosefinch,Carpodacus rubicilloides,"November 21, 2024",40
Common Rosefinch,Carpodacus erythrinus,No Observations,0
Pink-browed Rosefinch,Carpodacus rodochroa,"November 26, 2024",0
Spot-winged Rosefinch,Carpodacus rodopeplus,"November 27, 2024",51
Crimson-browed Finch,Carpodacus subhimachalus,"November 15, 2024",30
Long-tailed Rosefinch,Carpodacus sibiricus,No Observations,0
Scarlet Finch,Carpodacus sipahi,"November 29, 2024",109
Pink-rumped Rosefinch,Carpodacus waltoni,"October 29, 2024",35
Plain Mountain-Finch,Leucosticte nemoricola,"November 19, 2024",0
White-cheeked Bullfinch,Pyrrhula leucogenis,"February 22, 2023",6
Red-headed Bullfinch,Pyrrhula erythrocephala,No Observations,0
Eurasian Bullfinch,Pyrrhula pyrrhula,No Observations,"50,666"
Brown Bullfinch,Pyrrhula nipalensis,"November 4, 2024",169
Orange Bullfinch,Pyrrhula aurantiaca,No Observations,17
Citril Finch,Carduelis citrinella,"December 2, 2024",0
Trumpeter Finch,Bucanetes githagineus,No Observations,703
Warsangli Linnet,Linaria johannis,No Observations,0
Twite,Linaria flavirostris,"November 30, 2024","1,105"
Dark-breasted Rosefinch,Procarduelis nipalensis,"November 27, 2024",134
Fulvous Whistling-Duck,Dendrocygna bicolor,"December 6, 2024","5,252"
Lesser Whistling-Duck,Dendrocygna javanica,"December 7, 2024","3,614"
Northern Shoveler,Spatula clypeata,"December 7, 2024","89,127"
Garganey,Spatula querquedula,"December 7, 2024","12,093"
Baikal Teal,Sibirionetta formosa,No Observations,0
White-winged Duck,Asarcornis scutulata,No Observations,0
Eurasian Wigeon,Mareca penelope,"December 7, 2024","25,886"
Falcated Duck,Mareca falcata,"December 7, 2024","1,351"
Gadwall,Mareca strepera,"December 7, 2024","72,233"
Great Eared-Nightjar,Lyncornis macrotis,No Observations,0
Jerdon's Nightjar,Caprimulgus atripennis,"November 13, 2024",95
Savanna Nightjar,Caprimulgus affinis,No Observations,"1,363"
Indian Nightjar,Caprimulgus asiaticus,No Observations,0
Eurasian Nightjar,Caprimulgus europaeus,"December 1, 2024","2,710"
Jungle Nightjar,Caprimulgus indicus,No Observations,0
Sykes's Nightjar,Caprimulgus mahrattensis,No Observations,0
Collared Falconet,Microhierax caerulescens,"December 3, 2024",224
Pied Falconet,Microhierax melanoleucos,No Observations,0
Lesser Kestrel,Falco naumanni,"November 26, 2024","3,742"
Eurasian Kestrel,Falco tinnunculus,"December 7, 2024",0
Laggar Falcon,Falco jugger,No Observations,0
Saker Falcon,Falco cherrug,"December 2, 2024",632
Amur Falcon,Falco amurensis,No Observations,0
Merlin,Falco columbarius,No Observations,"25,892"
Red-necked Falcon,Falco chicquera,No Observations,497
Oriental Hobby,Falco severus,"November 19, 2024",70
Peregrine Falcon,Falco peregrinus,"December 7, 2024",0
Eurasian Hobby,Falco subbuteo,"December 4, 2024","8,963"
Lesser Flamingo,Phoeniconaias minor,"December 3, 2024",0
Red-tailed Tropicbird,Phaethon rubricauda,"November 26, 2024","1,120"
Red-billed Tropicbird,Phaethon aethereus,No Observations,"1,313"
White-tailed Tropicbird,Phaethon lepturus,"December 5, 2024","1,698"
Malayan Night Heron,Gorsachius melanolophus,No Observations,"10,232"
Striated Heron,Butorides striata,No Observations,0
Indian Pond-Heron,Ardeola grayii,No Observations,"7,717"
Chinese Pond-Heron,Ardeola bacchus,No Observations,0
Black-crowned Night Heron,Nycticorax nycticorax,"December 7, 2024","106,922"
Medium Egret,Ardea intermedia,"December 6, 2024",0
White-bellied Heron,Ardea insignis,No Observations,47
Goliath Heron,Ardea goliath,"December 5, 2024","2,306"
Grey Heron,Ardea cinerea,"December 7, 2024","138,709"
Great-billed Heron,Ardea sumatrana,"December 3, 2024",609
Purple Heron,Ardea purpurea,No Observations,"14,555"
Eastern Cattle-Egret,Ardea coromanda,"December 7, 2024","17,273"
Great Egret,Ardea alba,"December 7, 2024","262,358"
Pacific Reef Heron,Egretta sacra,"December 7, 2024","6,484"
Little Egret,Egretta garzetta,"December 7, 2024","70,119"
Western Reef Heron,Egretta gularis,"November 30, 2024","2,677"
Eurasian Bittern,Botaurus stellaris,"December 5, 2024","2,193"
Cinnamon Bittern,Botaurus cinnamomeus,"December 7, 2024","1,037"
Black Bittern,Botaurus flavicollis,"December 1, 2024",619
Yellow Bittern,Botaurus sinensis,"December 6, 2024","2,609"
Spot-billed Pelican,Pelecanus philippensis,"December 6, 2024","2,289"
Dalmatian Pelican,Pelecanus crispus,"December 1, 2024","2,813"
Great White Pelican,Pelecanus onocrotalus,"December 6, 2024","4,589"
Red-naped Ibis,Pseudibis papillosa,"December 3, 2024","1,491"
Glossy Ibis,Plegadis falcinellus,"December 7, 2024","21,829"
Black-headed Ibis,Threskiornis melanocephalus,"December 5, 2024","2,948"
Eurasian Spoonbill,Platalea leucorodia,No Observations,"12,769"
Black-bellied Storm-Petrel,Fregetta tropica,No Observations,0
White-faced Storm-Petrel,Pelagodroma marina,No Observations,0
Wilson's Storm-Petrel,Oceanites oceanicus,"December 6, 2024",0
Swinhoe's Storm-Petrel,Hydrobates monorhis,No Observations,90
Wedge-tailed Shearwater,Ardenna pacifica,No Observations,0
Flesh-footed Shearwater,Ardenna carneipes,No Observations,618
Streaked Shearwater,Calonectris leucomelas,No Observations,0
Bulwer's Petrel,Bulweria bulwerii,"October 20, 2024",284
Jouanin's Petrel,Bulweria fallax,No Observations,0
Christmas Shearwater,Puffinus nativitatis,"November 7, 2024",39
Barau's Petrel,Pterodroma baraui,"November 15, 2024",55
Little Grebe,Tachybaptus ruficollis,"December 7, 2024","31,759"
Red-necked Grebe,Podiceps grisegena,"December 6, 2024","12,685"
Horned Grebe,Podiceps auritus,"December 7, 2024","21,425"
Great Crested Grebe,Podiceps cristatus,"December 7, 2024","59,433"
Eared Grebe,Podiceps nigricollis,"December 7, 2024","25,331"
Arctic Loon,Gavia arctica,No Observations,"3,724"
Pomarine Jaeger,Stercorarius pomarinus,"December 6, 2024","2,333"
Parasitic Jaeger,Stercorarius parasiticus,No Observations,0
Brown Skua,Stercorarius antarcticus,No Observations,0
South Polar Skua,Stercorarius maccormicki,No Observations,"1,003"
Pied Avocet,Recurvirostra avosetta,"December 6, 2024","14,374"
Black-winged Stilt,Himantopus himantopus,"December 7, 2024",0
Ibisbill,Ibidorhyncha struthersii,"November 19, 2024",203
Eurasian Oystercatcher,Haematopus ostralegus,"December 6, 2024","24,451"
Crab-Plover,Dromas ardeola,"December 7, 2024",409
Indian Stone-Curlew,Burhinus indicus,No Observations,0
Great Stone-Curlew,Esacus recurvirostris,"December 2, 2024",0
Beach Stone-Curlew,Esacus magnirostris,"December 7, 2024","1,156"
Long-billed Plover,Thinornis placidus,"December 7, 2024",801
Little Ringed Plover,Thinornis dubius,"December 7, 2024","19,046"
Black-fronted Dotterel,Thinornis melanops,"December 6, 2024","3,452"
Tibetan Sand Plover,Anarhynchus atrifrons,"December 7, 2024","2,395"
Greater Sand Plover,Anarhynchus leschenaultii,"December 3, 2024","2,331"
Oriental Plover,Anarhynchus veredus,No Observations,155
Kentish Plover,Anarhynchus alexandrinus,"December 7, 2024","8,879"
Pacific Golden Plover,Pluvialis fulva,"December 7, 2024","10,433"
Black-bellied Plover,Pluvialis squatarola,"December 7, 2024",0
European Golden Plover,Pluvialis apricaria,"December 6, 2024","5,174"
Grey-headed Lapwing,Vanellus cinereus,"December 1, 2024","1,290"
Red-wattled Lapwing,Vanellus indicus,"December 7, 2024","8,290"
White-tailed Lapwing,Vanellus leucurus,"November 25, 2024",504
Sociable Lapwing,Vanellus gregarius,No Observations,0
Northern Lapwing,Vanellus vanellus,"December 7, 2024","34,499"
River Lapwing,Vanellus duvaucelii,"December 1, 2024",499
Yellow-wattled Lapwing,Vanellus malabaricus,"December 5, 2024","1,105"
Common Ringed Plover,Charadrius hiaticula,"December 6, 2024","14,950"
Jerdon's Courser,Rhinoptilus bitorquatus,No Observations,0
Collared Pratincole,Glareola pratincola,"December 3, 2024","2,089"
Small Pratincole,Glareola lactea,No Observations,0
Oriental Pratincole,Glareola maldivarum,"December 6, 2024",0
Indian Courser,Cursorius coromandelicus,No Observations,0
Cream-coloured Courser,Cursorius cursor,No Observations,0
Pheasant-tailed Jacana,Hydrophasianus chirurgus,"December 7, 2024",0
Bronze-winged Jacana,Metopidius indicus,No Observations,0
Indian Skimmer,Rynchops albicollis,"November 22, 2024",169
Caspian Gull,Larus cachinnans,No Observations,0
Pallas's Gull,Ichthyaetus ichthyaetus,"December 1, 2024",0
Sooty Gull,Ichthyaetus hemprichii,"November 20, 2024",526
Little Gull,Hydrocoloeus minutus,"December 6, 2024",0
Brown-headed Gull,Chroicocephalus brunnicephalus,"December 7, 2024","1,760"
Black-headed Gull,Chroicocephalus ridibundus,No Observations,0
Slender-billed Gull,Chroicocephalus genei,No Observations,"3,340"
Whiskered Tern,Chlidonias hybrida,"December 7, 2024","9,418"
White-winged Tern,Chlidonias leucopterus,No Observations,0
Black Tern,Chlidonias niger,No Observations,"11,230"
White-cheeked Tern,Sterna repressa,No Observations,238
Black-bellied Tern,Sterna acuticauda,"December 6, 2024",71
Black-naped Tern,Sterna sumatrana,No Observations,0
Common Tern,Sterna hirundo,"December 7, 2024","37,199"
Arctic Tern,Sterna paradisaea,"November 14, 2024","6,420"
Roseate Tern,Sterna dougallii,"November 21, 2024","1,324"
River Tern,Sterna aurantia,No Observations,997
Lesser Crested Tern,Thalasseus bengalensis,No Observations,"1,396"
Sandwich Tern,Thalasseus sandvicensis,"December 6, 2024","15,576"
Great Crested Tern,Thalasseus bergii,"December 7, 2024",0
Caspian Tern,Hydroprogne caspia,"December 7, 2024","30,282"
Gull-billed Tern,Gelochelidon nilotica,"December 3, 2024","5,902"
Saunders's Tern,Sternula saundersi,"October 18, 2024",77
Little Tern,Sternula albifrons,No Observations,"6,058"
Bridled Tern,Onychoprion anaethetus,No Observations,"1,723"
Sooty Tern,Onychoprion fuscatus,"December 6, 2024","1,756"
Lesser Noddy,Anous tenuirostris,No Observations,172
Brown Noddy,Anous stolidus,"December 4, 2024","3,059"
Greater Painted-Snipe,Rostratula benghalensis,No Observations,0
Terek Sandpiper,Xenus cinereus,"December 7, 2024","3,461"
Red-necked Phalarope,Phalaropus lobatus,No Observations,0
Bar-tailed Godwit,Limosa lapponica,No Observations,0
Black-tailed Godwit,Limosa limosa,"December 6, 2024","16,342"
Ruddy Turnstone,Arenaria interpres,No Observations,"43,928"
Eurasian Woodcock,Scolopax rusticola,"December 6, 2024","3,285"
Solitary Snipe,Gallinago solitaria,"October 13, 2024",0
Pin-tailed Snipe,Gallinago stenura,No Observations,479
Swinhoe's Snipe,Gallinago megala,No Observations,284
Great Snipe,Gallinago media,No Observations,0
